id,created_at,question_id,option_text,option_image_url,is_correct,option_order,explanation,match_pair_id
000c6582-687e-4eaf-9f89-0f1174524ace,2026-04-02 03:56:05,6e98b05f-05b6-4a67-8cb2-b91a28e0f01d,Completely different sentence,,false,4,Wrong transcription,
000cf4a3-d8f3-46d4-9a8f-e911f5d70dd5,2026-04-02 03:56:05,7dd810b2-5c04-4c73-aa07-cacaa6899759,Misses the context,,false,3,Does not answer the question,
00133679-bb46-4b86-8b9c-124b8dd3e36d,2026-04-02 03:56:05,75fd98f5-3434-4fcd-9da4-706545fb814c,Opposite of what was said,,false,3,Inverted meaning,
001aadf3-592d-43a2-9664-f0aa435eca08,2026-04-02 03:56:05,a02afa38-00db-4362-880c-451a4ecf8a05,Sound-alike but wrong,,false,2,Phonetic confusion,
00277ff2-c02f-4dc9-8897-c41f3168236f,2026-04-02 03:56:05,81727dec-a224-4df6-979f-b42692c4ad0e,Sounds similar but different,,false,2,Similar pronunciation,
003feaf3-f6e7-4250-b468-dd13c5f45e33,2026-04-02 03:56:05,8adc5188-d58a-4070-8112-c89245c181e7,True based on the passage,,true,1,Correct interpretation,
004209ef-a86f-4d5e-ad3a-0984c677eae4,2026-04-02 03:56:05,7bbe5d00-6c68-48a5-b7c6-c07c49a3210a,Partially true but incomplete,,false,4,Half-correct answer,
004a2c5e-f550-400e-8a71-4d20627bed19,2026-04-02 03:56:05,f7ffe5d1-997d-4362-a0ac-4d52ce2f2009,The speaker says this exactly,,true,1,Correct audio interpretation,
0057a68d-290b-412c-b3af-b7281c5d371d,2026-04-02 03:56:05,2066b4d2-5306-4c33-aa5d-7ba172bec155,Wrong verb tense,,false,2,"Same word, wrong form",
00878c82-4913-4563-a11d-26c9b355dfe8,2026-04-02 03:56:05,f6161149-e8a8-422a-9f24-1210ea9734e3,Related topic from audio,,false,3,Context related but not stated,
00880b97-8494-47c9-9ae7-c5f15306da4c,2026-04-02 03:56:05,093ab0c7-08d3-4c3a-baae-95ce27bb3855,Item A: English phrase,,true,1,Matches Vietnamese translation,pair_A
00c78aec-62c8-43e4-afab-668180c273b1,2026-04-02 03:56:05,d15f9f65-dc86-4643-ac9c-849d376e23b2,Completely different,,false,4,Unrelated option,
00d2ae18-13dd-4f02-aaba-68349b783292,2026-04-02 03:56:05,1112cba9-df8d-4a1a-ad2f-9b081fde3445,Related topic from audio,,false,3,Context related but not stated,
00dce5ec-ce74-4bd4-b2dd-b0befd5214c0,2026-04-02 03:56:05,3c961845-df4d-49b0-b5d8-805fc05128d5,Has spelling error,,false,2,Homophone confusion,
00f34c72-c228-408a-8561-d6e95dcbee7d,2026-04-02 03:56:05,aa746dac-8a45-4524-866b-2a2b6a460b0e,Opposite meaning,,false,4,Antonym for this context,
010a8024-d4b1-4954-97b8-50a6880f60f7,2026-04-02 03:56:05,4d02a13b-09bb-42db-af7e-afaf45785e4c,Misses the context,,false,3,Does not answer the question,
010b8fde-1f69-4724-b57f-c773b7443514,2026-04-02 03:56:05,ec86125b-b6e8-448d-a2eb-f92858072f3d,Correct sentence from audio,,true,1,Exactly as spoken,
011c569e-70d1-477e-86d8-db07b965b437,2026-04-02 03:56:05,24d9b4c4-6a8f-46bf-80b7-da3eaad4ac63,Related topic from audio,,false,3,Context related but not stated,
0132ac67-1004-4138-aedf-ee98222004fd,2026-04-02 03:56:05,77120382-fbec-403f-b3d4-b8ff93ad4a02,The correct word to fill,,true,1,Proper grammar and meaning,
0146be04-31bb-45f1-b610-c867dc0cfb36,2026-04-02 03:56:05,849c56dc-68b0-4df5-97bd-6b99b1788b45,False: not mentioned in text,,false,2,Misunderstanding,
01753031-ab3e-4307-b7c6-b939b3444d7a,2026-04-02 03:56:05,64f68b36-3723-48af-b5d9-b666976017c9,Similar sounding sentence,,false,3,Auditory similarity,
017892a4-8367-4d70-80e2-b3ccdd4d93c9,2026-04-02 03:56:05,a6d97760-525b-4a4e-a152-d9ee2920e8cc,True based on the passage,,true,1,Correct interpretation,
01eec0d5-9f51-4f5f-b1c5-d008c242a8c3,2026-04-02 03:56:05,a17ca0aa-c977-46cf-8c1a-af914f2d6fdb,Natural and appropriate response,,true,1,Fits conversation flow,
01ef0678-d50d-4828-92fb-081f7061311c,2026-04-02 03:56:05,62ce04ed-a971-4f0d-b9c5-737c1ee1e58b,Item D: English phrase,,true,4,Matches Vietnamese translation,pair_D
01ef4645-8ef0-4327-8993-e5733d0155fe,2026-04-02 03:56:05,20eaf788-da6c-4e27-b762-f233356faa19,Item C: English phrase,,true,3,Matches Vietnamese translation,pair_C
01f21910-5a12-4751-b5a4-6b063b84a6a8,2026-04-02 03:56:05,134bf3eb-1009-48ef-8a4a-a7368ec30c69,Natural and appropriate response,,true,1,Fits conversation flow,
02049801-4daf-46e5-b792-509c67c37320,2026-04-02 03:56:05,501354c0-a8ca-4eef-b581-5b72180f32bb,Opposite meaning,,false,4,Antonym for this context,
022287ca-59b7-4a63-b1cb-a17ffcb59bc9,2026-04-02 03:56:05,48bc9167-4f02-466e-b9b9-894b7b082607,Wrong verb tense,,false,2,"Same word, wrong form",
0236d473-da7d-41a7-9a1f-6795b8d4391a,2026-04-02 03:56:05,fc593b27-8ab3-4b55-89fb-608666a92c50,The correct word to fill,,true,1,Proper grammar and meaning,
023a2f37-038d-42ee-9027-95cf845f6ef0,2026-04-02 03:56:05,8638e5ef-62ea-4294-99b5-a787d74ecc8d,Opposite of what was said,,false,3,Inverted meaning,
023e7fef-b1de-430c-8c5b-240b1768e666,2026-04-02 03:56:05,acf9cdc9-03ff-4232-b4c2-74a832764942,Opposite meaning,,false,4,Antonym for this context,
025c4f5f-2b67-42ec-adeb-1a67acfbd0b0,2026-04-02 03:56:05,75fcb20a-ed52-4c8a-b766-7c67e5d87f63,Has spelling error,,false,2,Homophone confusion,
026c9145-4826-47ce-8b1b-9dab5df86e31,2026-04-02 03:56:05,680db8b3-9fb5-4ee9-82dc-a74ed1da9918,Misses the context,,false,3,Does not answer the question,
028418a1-3865-40fb-ba88-1e7e9a0e6080,2026-04-02 03:56:05,1b20762e-2138-4cac-accf-e82808e39c10,Item D: English phrase,,true,4,Matches Vietnamese translation,pair_D
028c64dd-3f6f-4e2a-994c-c81052fbe1a3,2026-04-02 03:56:05,67480ddb-4cf8-4d69-aaf4-b2df19683c80,Partially true but incomplete,,false,4,Half-correct answer,
02907db2-1755-4417-be37-eb100ea99cdc,2026-04-02 03:56:05,5343b8c0-152f-4c8d-b73d-efc898d2fb46,Item B: English phrase,,true,2,Matches Vietnamese translation,pair_B
0294dc65-6872-441f-b83b-46c5fb1362ed,2026-04-02 03:56:05,13be727d-e542-4084-a6ec-fb0bb46bf4bd,Opposite meaning,,false,4,Antonym for this context,
02cf765a-efd0-4739-8eff-2fc9701d51f1,2026-04-02 03:56:05,94b9c3cb-430b-4b0b-8f44-b556ac5a6062,Partially true but incomplete,,false,4,Half-correct answer,
